file,bytes,mb,rows
footprint_estimates_market_monthly.csv,41011,0.041,540
footprint_estimates_monthly.csv,1036013,1.036,9286
intensity_factors.csv,1074,0.001,10
MANIFEST.csv,681,0.001,17
market_crosswalk.csv,613,0.001,11
poi_efw.csv,61375269,61.375,98344
poi_efw_market_summary.csv,64452,0.064,629
README.md,1440,0.001,
spend_efw_brand_monthly.csv,3818008,3.818,51695
spend_efw_domain_monthly.csv,102381,0.102,1620
station_to_market.csv,6513,0.007,55
uhi_market_summary.csv,945,0.001,11
uhi_points.csv,40757575,40.758,1229291
visits_efw_brand_monthly_top25.csv,6735097,6.735,89576
visits_efw_market_category_totals.csv,11761,0.012,176
visits_efw_monthly.csv,2008928,2.009,16124
weather_host_daily.csv,6719629,6.72,100485
weather_host_monthly.csv,65384,0.065,660
