MARKET,year_month,est_energy_kwh,est_water_liters,est_kg_co2e,total_visits
Atlanta,2020-01,1505917451.9999998,3860919187.0,731379270.9,139529694.0
Atlanta,2020-02,1471242195.3999999,3811086649.5,717129214.0,137817587.0
Atlanta,2020-03,1261439475.1999998,2824105871.5,573478733.5,104834896.0
Atlanta,2020-04,775473636.1999999,803864218.0,313750138.20000005,46508311.0
Atlanta,2020-05,1455811998.6,2791710152.5,631742468.7,110389330.0
Atlanta,2020-06,1779749032.1999998,3558619999.5,768320395.5,135263081.0
Atlanta,2020-07,1765151859.8,3703566659.0,769386299.9,136794704.0
Atlanta,2020-08,1586062354.6,3550106436.0,705889645.3,128052370.0
Atlanta,2020-09,1598361320.0000002,3559207327.5,718646916.6999999,131142033.0
Atlanta,2020-10,1623772177.2,3728245906.0,738722538.7,135850683.0
Atlanta,2020-11,1435098372.8,3498272158.0,670505818.4,125221629.0
Atlanta,2020-12,1439326180.6000001,3751030369.0,688191612.1,130822621.0
Atlanta,2021-01,1258119964.9999998,3220575556.5,615317902.4000001,117882725.0
Atlanta,2021-02,1197984091.6,2915066523.5,565875555.4,106120029.0
Atlanta,2021-03,1674167533.6000001,4003022812.5,775651523.4,144837042.0
Atlanta,2021-04,1753966728.2,4114748960.0,812618008.5,151417867.0
Atlanta,2021-05,1928139463.8,4129365682.0,854646993.4,154225819.0
Atlanta,2021-06,1843812981.1999998,3981460201.5,809788628.0000001,145683591.0
Atlanta,2021-07,1900952699.0000005,4341129674.5,843263372.5,153666952.0
Atlanta,2021-08,1637157544.2,3834824671.5,734263208.1,134605241.0
Atlanta,2021-09,1617133954.0000002,3647705207.0,732239109.6,133753512.0
Atlanta,2021-10,1640584028.3999999,3825383933.5,752917476.5,138847610.0
Atlanta,2021-11,1542482830.8,3781971427.5,722306996.1,134919419.0
Atlanta,2021-12,1502894426.2,4021285773.5,732233151.5,140071679.0
Atlanta,2022-01,1233515700.8000002,3367581046.0,617366093.0999999,120313191.0
Atlanta,2022-02,1314340810.8,3397113663.5,636777799.1000001,122292675.0
Atlanta,2022-03,1626349017.3999999,3840993370.5,746195191.8000001,138601803.0
Atlanta,2022-04,1662684168.4000003,3839233647.5,766665617.7,142218056.0
Atlanta,2022-05,1838249595.0,3988937901.0,822057899.6999999,148896946.0
Atlanta,2022-06,1842372226.2000003,3846852646.0,812451955.2,145115678.0
Atlanta,2022-07,1859465634.6,4139205989.5,831106042.2,150755270.0
Atlanta,2022-08,1610383917.0000002,3710452917.0,727442905.9000001,132858582.0
Atlanta,2022-09,1634557261.3999999,3650203456.0,741371697.1,135029952.0
Atlanta,2022-10,1623642817.6000001,3744880866.5,747823707.3,137612905.0
Atlanta,2022-11,1481477347.0000002,3585816693.5,693152510.3,128769255.0
Atlanta,2022-12,1450628023.8000002,3848246367.0,705233170.5,134498991.0
Atlanta,2023-01,1339478684.1999998,3447820270.0,654042467.8000001,125232801.0
Atlanta,2023-02,1324208839.0,3387688587.0,641220123.6,122858788.0
Atlanta,2023-03,1563416452.6,3732241551.0,723520322.1,134952141.0
Atlanta,2023-04,1626298959.8000002,3720797687.5,748961492.8,138353176.0
Atlanta,2023-05,1798043879.6000001,3826264391.5,800464799.4999999,144028079.0
Atlanta,2023-06,1799054700.0,3791425603.5,794875079.0,141920885.0
Atlanta,2023-07,1837934750.8,4104274705.0,824012323.3000001,149434401.0
Atlanta,2023-08,1567998674.8000002,3600630475.0,707796963.5999999,129003694.0
Atlanta,2023-09,1581734153.8,3590752052.5,720251864.7,131799684.0
Atlanta,2023-10,1586575926.1999998,3662156361.5,728500290.9,133950846.0
Atlanta,2023-11,1486732191.8,3583561698.5,694433655.3,128885670.0
Atlanta,2023-12,1453292993.2,3867847766.5,710603441.6,135559269.0
Atlanta,2024-01,1318535533.2,3294315506.0,636356727.1,120676219.0
Atlanta,2024-02,1358692297.2,3400144562.0,653323497.1999999,124312249.0
Atlanta,2024-03,1566838719.6000001,3787580075.5,733296121.5999999,137541690.0
Atlanta,2024-04,1628436460.0,3658868397.5,741554714.6,135938583.0
Atlanta,2024-05,1870748742.2000003,3969679762.0,831437783.8,149368284.0
Atlanta,2024-06,1821561102.6000001,3855993906.5,807167945.8000001,144376619.0
Atlanta,2024-07,1850292352.0,4019636688.5,818357270.2,146686421.0
Atlanta,2024-08,1625207954.0,3712536618.0,732083082.3000001,132955429.0
Atlanta,2024-09,1511263829.4,3385047768.5,684838424.9,124468272.0
Atlanta,2024-10,1622293275.6000001,3687120823.5,738123464.2,134876090.0
Atlanta,2024-11,1504316278.8,3674490783.0,702396120.6,130967449.0
Atlanta,2024-12,1485159222.2,3980297005.5,720605968.4,137707319.0
Boston,2020-01,469009316.0,1522825353.0,289132701.9,57877217.0
Boston,2020-02,463232018.79999995,1501878555.0,284253645.4,57011579.0
Boston,2020-03,341157675.6,976696359.0,195098690.89999998,37573245.0
Boston,2020-04,160179512.0,270177367.0,78201848.5,11889734.0
Boston,2020-05,270204745.00000006,409125820.5,115599770.0,16919721.0
Boston,2020-06,409911357.8,899922377.5,205427544.1,35959531.0
Boston,2020-07,468609170.6,1203687519.0,246611493.89999998,46074468.0
Boston,2020-08,438681346.40000004,1233192526.0,238668151.0,45968326.0
Boston,2020-09,450071464.59999996,1257652592.0,246777545.6,47795698.0
Boston,2020-10,440455156.4,1278853435.5,246996058.6,48146117.0
Boston,2020-11,392757803.4,1198145083.0,229549469.2,45090202.0
Boston,2020-12,382379118.0,1185615386.0,227735781.70000002,44255387.0
Boston,2021-01,291046232.8,766395089.0,167516773.09999996,30613283.0
Boston,2021-02,270069203.59999996,727858334.0,158744263.2,29926394.0
Boston,2021-03,416737214.4,1102333121.5,234903089.8,44339608.0
Boston,2021-04,440392949.4,1154369308.5,247292086.70000002,46746919.0
Boston,2021-05,506800575.0,1252461935.0,270752337.79999995,50258196.0
Boston,2021-06,529374481.79999995,1445096431.0,283784462.29999995,54290433.0
Boston,2021-07,540355591.2,1548288693.0,293045424.4,56637020.0
Boston,2021-08,505049098.6,1557062060.0,274977843.4,54010564.0
Boston,2021-09,487019154.00000006,1436585505.0,271590885.3,53095054.0
Boston,2021-10,487479113.0,1484831011.0,279543836.59999996,54960963.0
Boston,2021-11,457832124.1999999,1442110857.0,268378369.4,52931106.0
Boston,2021-12,456460250.40000004,1495876861.5,273706084.2,54319972.0
Boston,2022-01,327742031.59999996,1123100825.5,208009503.9,42176572.0
Boston,2022-02,345839098.0,1149683188.0,212153785.6,42815866.0
Boston,2022-03,448649475.0,1388544993.5,259123743.4,51098026.0
Boston,2022-04,493018219.79999995,1483296988.0,281950791.5,55539873.0
Boston,2022-05,541993030.4000001,1535241250.5,295301214.09999996,57196607.0
Boston,2022-06,555019588.8000001,1555955640.5,298814343.4,57535911.0
