MARKET,spend_domain,BRAND_NAME,year_month,spend_amount,trans_count
Atlanta,Food,TARGET,2020-01,15310842.9183,341526.07920000004
Atlanta,Energy,QUIKTRIP (FUEL),2020-01,12942823.431400001,462713.48179999995
Atlanta,Energy,BP AMOCO (FUEL),2020-01,5301323.9766999995,200631.54320000001
Atlanta,Energy,RACETRAC (EX FUEL),2020-01,3402800.0404999987,271048.6632
Atlanta,Food,DOORDASH,2020-01,2759826.4109,95574.62590000001
Atlanta,Food,TRADER JOE'S,2020-01,2603946.7001,57482.1128
Atlanta,Food,BURGER KING,2020-01,2091440.2226,231206.43019999997
Atlanta,Food,DOMINO'S PIZZA,2020-01,1819752.6693,77898.4718
Atlanta,Food,DUNKIN' DONUTS,2020-01,1736640.0149999997,250639.4583
Atlanta,Energy,BJ'S WHOLESALE CLUB (EX FUEL),2020-01,1415501.6974999995,17105.4343
Atlanta,Food,POPEYE'S,2020-01,1382046.1026,114616.86599999998
Atlanta,Energy,CITGO (EX FUEL),2020-01,914523.9165000003,67729.2291
Atlanta,Food,KFC,2020-01,890268.1498,75380.9988
Atlanta,Lodging,HOLIDAY INN EXPRESS,2020-01,750219.351,4399.4334
Atlanta,Energy,EXXON MOBIL (EX FUEL),2020-01,746278.0687,51072.1626
Atlanta,Energy,SUNOCO (FUEL),2020-01,635108.5286,23242.051499999998
Atlanta,Energy,TEXACO (EX FUEL),2020-01,610194.8619,43036.437099999996
Atlanta,Energy,MAPCO EXPRESS (FUEL),2020-01,382081.3842,14642.735699999997
Atlanta,Energy,WAWA (FUEL),2020-01,311437.743,10956.4457
Atlanta,Energy,RACEWAY (EX FUEL),2020-01,248428.24430000002,18621.441799999997
Atlanta,Lodging,HYATT PLACE,2020-01,241675.21250000002,1559.2469
Atlanta,Energy,RALPH'S SUPERMARKET (EX FUEL),2020-01,233083.2609,6073.7086
Atlanta,Energy,VALERO ENERGY (EX FUEL),2020-01,229755.5413,14707.3938
Atlanta,Food,DEL TACO,2020-01,196001.08219999998,19945.892400000004
Atlanta,Energy,FRED MEYER (EX FUEL),2020-01,159880.2637,2829.4559
