MARKET,spend_domain,year_month,spend_amount,trans_count,brand_count
Atlanta,Energy,2020-01,28071332.564600002,1225416.3105000004,63
Atlanta,Food,2020-01,29066552.819899995,1275740.6786000005,28
Atlanta,Lodging,2020-01,1256635.2637999998,7295.3824,6
Atlanta,Energy,2020-02,26131046.108899985,1180307.2079999999,63
Atlanta,Food,2020-02,30468129.06750001,1303726.8689000001,30
Atlanta,Lodging,2020-02,1348857.4538000003,7598.525700000001,6
Atlanta,Energy,2020-03,24068249.1381,1112980.8361999993,64
Atlanta,Food,2020-03,32941546.263900004,1241890.6748000002,29
Atlanta,Lodging,2020-03,969808.045,4884.0465,6
Atlanta,Energy,2020-04,16465352.049099997,834619.9851,64
Atlanta,Food,2020-04,34272044.5395,1157733.1217999998,27
Atlanta,Lodging,2020-04,231254.434,1351.5407,6
Atlanta,Energy,2020-05,21224044.585200004,1101374.2278,64
Atlanta,Food,2020-05,44592119.30049999,1479476.1981000002,30
Atlanta,Lodging,2020-05,676925.4919,3829.5263999999997,6
Atlanta,Energy,2020-06,24110595.095499985,1189094.3080000002,63
Atlanta,Food,2020-06,41070661.01049999,1492452.105,29
Atlanta,Lodging,2020-06,1112863.725,5988.146500000002,6
Atlanta,Energy,2020-07,26915376.262599993,1264272.5357000004,65
Atlanta,Food,2020-07,43646216.802,1564741.4917000001,29
Atlanta,Lodging,2020-07,1287261.3450999998,7166.1828000000005,6
Atlanta,Energy,2020-08,25956783.368899986,1271862.7279999997,66
Atlanta,Food,2020-08,46596007.04970001,1636952.3602000002,29
Atlanta,Lodging,2020-08,1253286.4944,7657.670899999999,6
Atlanta,Energy,2020-09,25674338.026600003,1240983.1907,64
Atlanta,Food,2020-09,42812809.91060001,1591815.5588999996,30
Atlanta,Lodging,2020-09,1382515.1679,7727.608200000001,6
Atlanta,Energy,2020-10,26771912.888900004,1291181.3362999996,62
Atlanta,Food,2020-10,45902432.28210001,1722434.8573999996,30
Atlanta,Lodging,2020-10,1439496.3020000001,8606.2193,6
Atlanta,Energy,2020-11,25094533.665500008,1185607.1708,64
Atlanta,Food,2020-11,49718777.22299998,1679382.575,30
Atlanta,Lodging,2020-11,1204567.2719,7480.674200000001,6
Atlanta,Energy,2020-12,26314635.39019999,1218736.3624000002,65
Atlanta,Food,2020-12,62523058.757400036,1884506.5509000004,29
Atlanta,Lodging,2020-12,1102403.5184,6960.7849,6
Atlanta,Energy,2021-01,25898864.803499993,1147616.5603,64
Atlanta,Food,2021-01,46299078.9083,1639274.2455,30
Atlanta,Lodging,2021-01,1082007.3708,6462.7969,6
Atlanta,Energy,2021-02,25729945.334400013,1096303.4097999998,65
Atlanta,Food,2021-02,42765735.7384,1541826.4035000005,29
Atlanta,Lodging,2021-02,1141307.1520999998,6687.5045,6
Atlanta,Energy,2021-03,33587305.624699995,1334075.0598,63
Atlanta,Food,2021-03,50607334.761800006,1812088.9875999996,31
Atlanta,Lodging,2021-03,1431256.8024,8199.3042,6
Atlanta,Energy,2021-04,33968179.6633,1357050.3471,63
Atlanta,Food,2021-04,49644967.4241,1758862.932,31
Atlanta,Lodging,2021-04,2028085.5359999998,9822.0608,6
Atlanta,Energy,2021-05,37513641.264400005,1474870.5361000004,65
Atlanta,Food,2021-05,53906523.24440001,1824332.4893,29
Atlanta,Lodging,2021-05,2450689.1022,12127.500500000002,6
Atlanta,Energy,2021-06,36897680.081700005,1428549.0099999998,65
Atlanta,Food,2021-06,49919923.67699999,1712245.2919,32
Atlanta,Lodging,2021-06,2785169.5692999996,12284.9781,6
Atlanta,Energy,2021-07,38877758.88960002,1481051.8502999996,65
Atlanta,Food,2021-07,51842731.9139,1771615.3362999996,32
Atlanta,Lodging,2021-07,3082603.7078,12816.4837,6
Atlanta,Energy,2021-08,38241689.572500005,1446196.816500001,66
Atlanta,Food,2021-08,51481545.207499996,1773127.0840000003,30
Atlanta,Lodging,2021-08,2292485.8268000004,9946.0213,6
Atlanta,Energy,2021-09,37095682.10260001,1401123.7696000007,65
Atlanta,Food,2021-09,48671145.3063,1689782.2660999997,30
Atlanta,Lodging,2021-09,2318570.1115000006,10671.870299999999,6
Atlanta,Energy,2021-10,39714867.43709998,1477148.2928,64
Atlanta,Food,2021-10,52617103.84769999,1801628.6936999992,31
Atlanta,Lodging,2021-10,2424190.278,11162.287200000002,6
Atlanta,Energy,2021-11,38613148.71070002,1384437.8965000005,66
Atlanta,Food,2021-11,56434423.31040001,1784929.2518000004,31
Atlanta,Lodging,2021-11,2034481.9326,10101.645900000001,6
Atlanta,Energy,2021-12,36499425.9977,1333979.3445000006,64
Atlanta,Food,2021-12,68054496.4363,1899490.2198000003,31
Atlanta,Lodging,2021-12,1897140.3082,9146.1597,6
Atlanta,Energy,2022-01,34098521.56789997,1236699.3001000008,63
Atlanta,Food,2022-01,48126025.209499985,1605401.1412000004,31
Atlanta,Lodging,2022-01,1463298.2192,7483.7609999999995,6
Atlanta,Energy,2022-02,35454739.39479999,1218884.6179000004,64
Atlanta,Food,2022-02,45068568.072900005,1541796.4252000004,31
Atlanta,Lodging,2022-02,1848326.1593999998,8600.629500000001,6
Atlanta,Energy,2022-03,44485144.400800005,1430248.3511000006,64
Atlanta,Food,2022-03,50886587.431899995,1715182.6212000004,29
Atlanta,Lodging,2022-03,1952307.9422,9328.2875,6
Atlanta,Energy,2022-04,44199183.341299996,1431470.1341000001,65
Atlanta,Food,2022-04,51493770.251499996,1694751.5304,30
Atlanta,Lodging,2022-04,2447222.4298,10636.530499999999,6
Atlanta,Energy,2022-05,48620437.4308,1511613.5607000005,63
Atlanta,Food,2022-05,55822290.64299999,1802125.7740999996,29
Atlanta,Lodging,2022-05,2807833.9159,12302.427,6
Atlanta,Energy,2022-06,49602385.973400004,1489474.0492000002,65
Atlanta,Food,2022-06,51465724.830600016,1735302.6350999996,29
Atlanta,Lodging,2022-06,3173623.7012,12507.905100000002,6
Atlanta,Energy,2022-07,48670940.578899994,1504870.0238999994,65
Atlanta,Food,2022-07,55495561.0579,1794623.3689000006,29
Atlanta,Lodging,2022-07,2934329.4898,12454.3383,6
Atlanta,Energy,2022-08,42855496.55389999,1494486.6448,65
Atlanta,Food,2022-08,53096904.06990001,1753872.8492999994,29
Atlanta,Lodging,2022-08,1988611.1649000002,9845.6728,6
Atlanta,Energy,2022-09,39261812.230699986,1429411.9705,64
Atlanta,Food,2022-09,50367064.9836,1689441.7852999999,29
Atlanta,Lodging,2022-09,2394731.5614,11260.7238,6
Atlanta,Energy,2022-10,39938455.179900005,1451432.6576000003,64
Atlanta,Food,2022-10,54523120.4378,1794212.8399999999,29
Atlanta,Lodging,2022-10,2604415.4493,11648.274899999999,6
Atlanta,Energy,2022-11,37398302.8521,1332878.8977000003,65
Atlanta,Food,2022-11,58175264.15919998,1774654.8000000003,29
Atlanta,Lodging,2022-11,2158145.5592,9579.881499999998,6
Atlanta,Energy,2022-12,34902426.6907,1318932.4480999995,65
Atlanta,Food,2022-12,70420692.49350002,1932482.6013999998,29
Atlanta,Lodging,2022-12,1963320.2280000001,9343.540200000001,6
Atlanta,Energy,2023-01,35001956.52059999,1287640.3886999998,64
Atlanta,Food,2023-01,49840220.90640001,1642868.0208,29
Atlanta,Lodging,2023-01,1627122.0580000002,8329.6515,6
Atlanta,Energy,2023-02,34778676.03289998,1225697.1136,64
Atlanta,Food,2023-02,48722782.0642,1603204.7607,29
Atlanta,Lodging,2023-02,1868672.5663999997,8795.416700000002,6
Atlanta,Energy,2023-03,39290328.9176,1396727.5439,62
Atlanta,Food,2023-03,53657984.16869998,1797410.3614999999,29
Atlanta,Lodging,2023-03,2140461.9457,10119.255400000002,6
Atlanta,Energy,2023-04,39400573.24859999,1372962.0485,63
Atlanta,Food,2023-04,53723910.781300016,1691984.1864000002,29
Atlanta,Lodging,2023-04,2620442.831,11126.7425,6
Atlanta,Energy,2023-05,41525662.9968,1453875.586599999,64
Atlanta,Food,2023-05,55075455.5353,1795965.3885999997,29
Atlanta,Lodging,2023-05,2508852.7582000005,11631.254,6
Atlanta,Energy,2023-06,40663107.28970001,1453213.0347000002,66
Atlanta,Food,2023-06,50750524.041999996,1682446.5683999998,30
Atlanta,Lodging,2023-06,2910727.3608,12283.8172,6
Atlanta,Energy,2023-07,42052198.545399986,1554275.3489,66
Atlanta,Food,2023-07,54284350.28350001,1748177.0047,29
Atlanta,Lodging,2023-07,3213211.9507999998,13328.6403,6
Atlanta,Energy,2023-08,44774042.460499994,1528882.4229000004,64
Atlanta,Food,2023-08,53428210.6955,1731047.9868999997,29
Atlanta,Lodging,2023-08,2219666.5787000004,10904.142200000002,6
Atlanta,Energy,2023-09,41610851.86350001,1452968.2980000002,65
Atlanta,Food,2023-09,51274837.2227,1696437.7783999997,29
Atlanta,Lodging,2023-09,2344592.3787999996,10557.087300000001,6
Atlanta,Energy,2023-10,39630970.637899995,1489940.4638000003,65
Atlanta,Food,2023-10,53177044.60569999,1796822.2721999993,30
Atlanta,Lodging,2023-10,2660912.9302999997,11579.247199999996,6
Atlanta,Energy,2023-11,35244386.5013,1353608.5587999998,64
Atlanta,Food,2023-11,56047937.1524,1745590.4782000002,29
Atlanta,Lodging,2023-11,2041718.2227000003,9161.255000000001,6
Atlanta,Energy,2023-12,36080456.50569999,1322132.0739999998,63
Atlanta,Food,2023-12,68513922.24040002,1926388.7637,30
Atlanta,Lodging,2023-12,1924617.3787999996,9263.2691,6
Atlanta,Energy,2024-01,33852727.460900016,1266530.9393999998,63
Atlanta,Food,2024-01,48544643.717099994,1640031.6894999999,30
Atlanta,Lodging,2024-01,1555552.4076999999,7701.0771,6
Atlanta,Energy,2024-02,34102052.24520001,1287008.6874000002,64
Atlanta,Food,2024-02,49061703.319500014,1645192.4659000002,29
Atlanta,Lodging,2024-02,1877801.7284,8759.759900000001,6
Atlanta,Energy,2024-03,40221427.1396,1458177.9747999997,65
Atlanta,Food,2024-03,55212735.75920001,1759405.9732999997,29
Atlanta,Lodging,2024-03,2246035.3455999997,9860.973699999999,6
Atlanta,Energy,2024-04,40169825.137099996,1444354.2553000005,64
Atlanta,Food,2024-04,52189528.59639999,1769923.0775999997,29
Atlanta,Lodging,2024-04,2407679.0548999994,10826.936999999998,6
Atlanta,Energy,2024-05,42631700.8041,1524543.6585000004,62
Atlanta,Food,2024-05,56549891.61770001,1815780.9648999998,29
Atlanta,Lodging,2024-05,2600997.5628,11594.761800000002,6
Atlanta,Energy,2024-06,40102794.7807,1485044.9211999997,65
Atlanta,Food,2024-06,52844115.02399999,1752266.5729999996,30
Atlanta,Lodging,2024-06,3061044.4771000003,12766.959299999999,6
Atlanta,Energy,2024-07,41274331.5218,1477136.8347999994,64
Atlanta,Food,2024-07,54763866.67789999,1763221.6111999997,31
Atlanta,Lodging,2024-07,2794024.4131000005,12346.110600000002,6
Atlanta,Energy,2024-08,40546833.5849,1527303.3071999997,65
Atlanta,Food,2024-08,53387896.8997,1788309.8719,31
Atlanta,Lodging,2024-08,2381997.6626,10519.850999999999,6
Atlanta,Energy,2024-09,35546084.53900001,1410347.2386999996,64
Atlanta,Food,2024-09,50376070.77559998,1685104.8400999994,30
Atlanta,Lodging,2024-09,2503728.932,10782.988000000001,6
Atlanta,Energy,2024-10,36944982.776999995,1477797.6089999995,64
Atlanta,Food,2024-10,53764976.907900006,1809431.8618999994,29
Atlanta,Lodging,2024-10,2508849.6808,10677.8707,6
Atlanta,Energy,2024-11,35231281.7396,1352685.9382999996,63
Atlanta,Food,2024-11,59193372.02520002,1815885.1190999998,29
Atlanta,Lodging,2024-11,2018298.0960000004,10202.480200000002,6
Atlanta,Energy,2024-12,36192804.5975,1343319.7772000001,64
Atlanta,Food,2024-12,71904683.3411,1978003.6774000009,29
Atlanta,Lodging,2024-12,1678457.4794,8334.667599999999,6
Boston,Energy,2020-01,23048461.154899992,643676.3275000001,49
Boston,Food,2020-01,970079.7525000002,59832.15849999999,23
Boston,Lodging,2020-01,628562.0713,3222.5443,9
Boston,Energy,2020-02,23273333.200299993,625574.1535000001,49
Boston,Food,2020-02,990607.0277,61848.948500000006,22
Boston,Lodging,2020-02,510547.0044000001,3483.1537,9
Boston,Energy,2020-03,27577024.677699994,629954.0590000002,48
Boston,Food,2020-03,896267.7736999998,56789.56230000001,23
Boston,Lodging,2020-03,359105.73740000004,1851.0967,10
Boston,Energy,2020-04,22874112.96119999,466855.0163,46
Boston,Food,2020-04,990059.6192999998,51623.62790000001,18
Boston,Lodging,2020-04,78937.1143,360.34309999999994,7
Boston,Energy,2020-05,26179074.8261,565017.6102,45
Boston,Food,2020-05,1116402.0562000002,59807.3215,22
