station_id,host_city_canonical,dist_km,station_name,municipality,lat,lon,source
KMGE,Atlanta,22.0,Dobbins Air Reserve Base,Marietta,33.915401,-84.516296,ourairports_nearest_host_150km
KPUJ,Atlanta,54.2,Silver Comet Field at Paulding Northwest Atlanta Airport,Dallas,33.912328,-84.941111,ourairports_nearest_host_150km
KVPC,Atlanta,59.5,Cartersville Airport,Cartersville,34.1231,-84.848701,ourairports_nearest_host_150km
KAHN,Atlanta,100.6,Athens Ben Epps Airport,Athens,33.948842,-83.325634,ourairports_nearest_host_150km
K3J7,Atlanta,116.9,Greene County Regional Airport,Greensboro,33.598008,-83.138158,ourairports_nearest_host_150km
KMCN,Atlanta,136.1,Middle Georgia Regional Airport,Macon,32.69279861450195,-83.64920043945312,ourairports_nearest_host_150km
KCSG,Atlanta,146.4,Columbus Airport,Columbus,32.516415,-84.939602,ourairports_nearest_host_150km
KOWD,Boston,21.0,Norwood Memorial Airport,Norwood,42.1904983521,-71.1728973389,ourairports_nearest_host_150km
KBVY,Boston,27.5,Beverly Regional Airport,Beverly / Danvers,42.584202,-70.916496,ourairports_nearest_host_150km
KSFZ,Boston,60.5,North Central State Airport,Pawtucket,41.9207992554,-71.49140167239999,ourairports_nearest_host_150km
KEWB,Boston,76.5,New Bedford Regional Airport,New Bedford,41.67610168457031,-70.95690155029297,ourairports_nearest_host_150km
KMVY,Boston,113.6,Martha's Vineyard Airport,Martha's Vineyard,41.3931007385,-70.6143035889,ourairports_nearest_host_150km
KIJD,Boston,115.2,Windham Airport,North Windham,41.743999,-72.180298,ourairports_nearest_host_150km
KBAF,Boston,138.2,Westfield-Barnes Regional Airport,Westfield,42.157799,-72.715599,ourairports_nearest_host_150km
KACK,Boston,148.3,Nantucket Memorial Airport,Nantucket,41.25310135,-70.06020355,ourairports_nearest_host_150km
KHFD,Boston,148.5,Hartford Brainard Airport,Hartford,41.736698150635,-72.649398803711,ourairports_nearest_host_150km
KRBD,Dallas,12.6,Dallas Executive Airport,Dallas,32.6809005737,-96.8682022095,ourairports_nearest_host_150km
