MARKET,point_count,mean_uhi,p90_uhi,max_uhi,avg_lat,avg_lon
Los Angeles,101332,8.53966170607508,10.0,11,34.08123344550591,-118.36264922235834
Miami,63024,6.723803630363037,10.0,11,26.3688998476771,-81.1065335903781
Dallas,94941,5.808681180943955,10.0,11,33.104638633467104,-96.4652520302075
Houston,131448,5.653535999026231,9.0,11,29.91862015397725,-95.47276348441983
San Francisco Bay Area,277177,5.62227024608824,10.0,11,37.548942201192446,-106.21467586957047
Philadelphia,36465,5.489894419306184,10.0,11,39.272246249828676,-76.57103891402706
Boston,17950,5.014428969359331,9.0,11,42.308696155988855,-71.21661348189419
Seattle,40184,4.70766971929126,9.0,11,47.60644431863416,-122.33021305743588
New York/New Jersey,291067,4.704040650434436,10.0,11,39.31117235035264,-81.75961280736135
Atlanta,80727,2.994983091159092,7.0,11,33.779745357810874,-84.68899427081406
Kansas City,94976,2.5399679919137466,6.0,11,39.10496323808098,-94.60048188489709
