MARKET,CATEGORY,BRAND,year_month,total_visits,distinct_locations_approx
Atlanta,Amusement Parks and Arcades,Round One Entertainment,2020-01,1241.0,1
Atlanta,Beverage Manufacturing,Molson Coors Brewery,2020-01,12446.0,1
Atlanta,Beverage Manufacturing,Coca-Cola UNITED,2020-01,5338.0,1
Atlanta,Beverage Manufacturing,Reddy Ice,2020-01,4788.0,1
Atlanta,Chemical and Allied Products Merchant Wholesalers,Airgas,2020-01,1507.0,1
Atlanta,Chemical and Allied Products Merchant Wholesalers,Praxair,2020-01,349.0,1
Atlanta,Drinking Places (Alcoholic Beverages),Marlow's Tavern,2020-01,20019.0,1
Atlanta,Drinking Places (Alcoholic Beverages),Smokey Bones,2020-01,12247.0,1
Atlanta,Freight Transportation Arrangement,ArcBest,2020-01,567.0,1
Atlanta,Freight Transportation Arrangement,J. B. Hunt Distribution,2020-01,410.0,1
Atlanta,Freight Transportation Arrangement,Old Dominion Freight Line,2020-01,206.0,1
Atlanta,Gasoline Stations,Chevron,2020-01,5475819.0,1
Atlanta,Gasoline Stations,Marathon,2020-01,2893876.0,1
Atlanta,Gasoline Stations,QuikTrip,2020-01,1677660.0,1
Atlanta,Gasoline Stations,BP,2020-01,1502351.0,1
Atlanta,Gasoline Stations,Texaco,2020-01,1456961.0,1
Atlanta,Gasoline Stations,Kroger Fuel Center,2020-01,1331501.0,1
Atlanta,Gasoline Stations,Shell Oil,2020-01,1313891.0,1
Atlanta,Gasoline Stations,RaceTrac,2020-01,1281961.0,1
Atlanta,Gasoline Stations,Sunoco,2020-01,1166135.0,1
Atlanta,Gasoline Stations,Exxon Mobil,2020-01,1115444.0,1
Atlanta,Gasoline Stations,Enmarket,2020-01,1076702.0,1
Atlanta,Gasoline Stations,Murphy USA,2020-01,998945.0,1
Atlanta,Gasoline Stations,CITGO,2020-01,674127.0,1
Atlanta,Gasoline Stations,Pilot Flying J,2020-01,544787.0,1
Atlanta,Gasoline Stations,Love's Travel Stops and Country Stores,2020-01,536656.0,1
Atlanta,Gasoline Stations,Jet Food Store,2020-01,323980.0,1
Atlanta,Gasoline Stations,RaceWay,2020-01,260811.0,1
Atlanta,Gasoline Stations,Circle K Gas,2020-01,220932.0,1
Atlanta,Gasoline Stations,Valero Energy,2020-01,213048.0,1
Atlanta,Gasoline Stations,Costco Gasoline,2020-01,56190.0,1
Atlanta,Gasoline Stations,76,2020-01,42099.0,1
Atlanta,Gasoline Stations,Gas N Go,2020-01,30317.0,1
Atlanta,Gasoline Stations,Mobil,2020-01,24941.0,1
Atlanta,Gasoline Stations,Sam's Club Fuel Center,2020-01,23886.0,1
Atlanta,Gasoline Stations,ConocoPhillips,2020-01,16855.0,1
Atlanta,Grocery Stores,Kroger,2020-01,5732855.0,1
Atlanta,Grocery Stores,ALDI,2020-01,2644611.0,1
Atlanta,Grocery Stores,Publix Super Markets,2020-01,2407559.0,1
Atlanta,Grocery Stores,Circle K,2020-01,1382656.0,1
