station_id,host_city_canonical,valid_date,avg_temp_c,max_temp_c,min_temp_c,cdd_c,hdd_c,precip_hundredths_mm,avg_rh_pct
K3J7,Atlanta,2020-01-01,7.7,12.5,3.4,0.0,10.8465,-1.0,55.794
K3J7,Atlanta,2020-01-02,8.6,10.8,6.4,0.0,9.5351,952.2,69.3365
K3J7,Atlanta,2020-01-03,15.8,21.9,9.4,0.0,2.9432,920.7,92.267
K3J7,Atlanta,2020-01-04,13.8,17.2,10.0,0.0,5.0715,265.5,80.213
K3J7,Atlanta,2020-01-05,7.5,12.5,0.7,0.0,11.2167,-1.0,61.01
K3J7,Atlanta,2020-01-06,11.4,17.9,4.1,0.0,7.5499,-1.0,60.8318
K3J7,Atlanta,2020-01-07,12.8,17.0,8.3,0.0,5.7134,88.2,62.5068
K3J7,Atlanta,2020-01-08,9.6,16.7,2.4,0.0,8.4768,-1.0,46.2981
K3J7,Atlanta,2020-01-09,10.0,17.7,1.9,0.0,8.4133,-1.0,51.2226
K3J7,Atlanta,2020-01-10,14.1,17.7,10.9,0.0,3.9066,349.8,68.748
K3J7,Atlanta,2020-01-11,18.5,22.3,15.7,0.6365,0.0,440.0,89.5158
K3J7,Atlanta,2020-01-12,17.0,21.3,11.6,0.0,1.8849,1958.0,86.0977
K3J7,Atlanta,2020-01-13,18.5,20.3,17.4,0.1751,0.0,2582.8,94.91
K3J7,Atlanta,2020-01-14,17.6,18.5,15.6,0.0,0.8134,288.0,100.0
K3J7,Atlanta,2020-01-15,18.6,22.6,15.4,0.6633,0.0,156.6,90.04
K3J7,Atlanta,2020-01-16,19.4,23.5,15.9,1.1115,0.0,184.0,76.1788
K3J7,Atlanta,2020-01-17,11.8,15.5,7.5,0.0,6.5568,-1.0,40.4348
K3J7,Atlanta,2020-01-18,8.1,12.3,5.1,0.0,9.6334,265.0,63.0828
K3J7,Atlanta,2020-01-19,8.6,11.1,6.8,0.0,9.7032,312.3,67.4829
K3J7,Atlanta,2020-01-20,3.4,6.7,-1.1,0.0,14.8701,-1.0,55.2874
K3J7,Atlanta,2020-01-21,2.8,6.0,-1.5,0.0,15.3551,-1.0,60.3168
K3J7,Atlanta,2020-01-22,4.6,11.3,-2.0,0.0,14.1066,-1.0,49.6272
K3J7,Atlanta,2020-01-23,6.9,11.0,2.4,0.0,11.7117,4.4,51.0252
K3J7,Atlanta,2020-01-24,9.4,12.7,5.9,0.0,8.3885,2093.0,88.3767
K3J7,Atlanta,2020-01-25,7.4,11.2,2.8,0.0,11.4433,6.0,84.05
K3J7,Atlanta,2020-01-26,7.3,13.2,1.7,0.0,11.3715,-1.0,64.778
K3J7,Atlanta,2020-01-27,10.0,12.7,7.8,0.0,7.5951,19.8,71.6958
K3J7,Atlanta,2020-01-28,9.0,15.6,3.1,0.0,9.2715,-1.0,70.6464
K3J7,Atlanta,2020-01-29,7.6,11.8,3.0,0.0,10.5051,294.8,68.5992
K3J7,Atlanta,2020-01-30,8.6,15.0,2.8,0.0,8.9568,149.6,78.53
K3J7,Atlanta,2020-01-31,6.8,9.5,4.3,0.0,11.5566,2566.3,87.1739
K3J7,Atlanta,2020-02-01,8.4,10.7,5.2,0.0,10.5366,39.0,92.466
K3J7,Atlanta,2020-02-02,10.3,16.9,4.3,0.0,7.5951,-1.0,69.1446
K3J7,Atlanta,2020-02-03,14.1,23.9,4.7,0.0,3.83,-1.0,51.5302
K3J7,Atlanta,2020-02-04,14.3,19.9,9.3,0.0,3.7534,23.0,68.8092
K3J7,Atlanta,2020-02-05,18.0,20.0,15.7,0.0,0.3234,831.6,91.7318
K3J7,Atlanta,2020-02-06,19.6,22.3,16.5,1.2168,0.0,4310.0,94.0212
