rank,host_city,readiness_score,readiness_lo,readiness_hi,stress_index,z_energy_kwh,z_kg_co2e,z_water_liters,z_cdd,z_uhi,peer_1,peer_2,peer_3,play_1,play_2,play_3
1,Seattle,100.0,85.0,100.0,-1.1318,-1.1333,-1.1339,-1.211,-1.7442,-0.3507,Boston,Kansas City,Philadelphia,Plant-forward concessions & catering defaults,Hotel linen / laundry water-reuse program,Cool roofs + shade in high-UHI hospitality corridors
2,Boston,97.01,82.01,100.0,-1.0616,-1.3874,-1.3302,-1.2779,0.2755,-0.1539,Philadelphia,Kansas City,Dallas,Cool roofs + shade in high-UHI hospitality corridors,Event-week HVAC setpoint & pre-cooling protocols,Plant-forward concessions & catering defaults
3,Kansas City,93.32,78.32,100.0,-0.9749,-1.0847,-0.9969,-0.8356,-0.0484,-1.741,Boston,Philadelphia,Seattle,Plant-forward concessions & catering defaults,Hotel linen / laundry water-reuse program,Cool roofs + shade in high-UHI hospitality corridors
4,Philadelphia,64.67,49.67,79.67,-0.3014,-0.3705,-0.4091,-0.5968,0.3475,0.151,Dallas,Boston,Los Angeles,Cool roofs + shade in high-UHI hospitality corridors,Event-week HVAC setpoint & pre-cooling protocols,Plant-forward concessions & catering defaults
5,Los Angeles,57.72,42.72,72.72,-0.1381,-0.5699,-0.5084,-0.5569,0.8915,2.107,Dallas,Philadelphia,Boston,Cool roofs + shade in high-UHI hospitality corridors,Event-week HVAC setpoint & pre-cooling protocols,Plant-forward concessions & catering defaults
6,Dallas,56.92,41.92,71.92,-0.1195,-0.2357,-0.3775,-0.2907,0.7997,0.3555,Philadelphia,Los Angeles,Boston,Cool roofs + shade in high-UHI hospitality corridors,Event-week HVAC setpoint & pre-cooling protocols,Plant-forward concessions & catering defaults
7,Atlanta,51.78,36.78,66.78,0.0015,0.0957,-0.0975,-0.132,1.6368,-1.4491,Dallas,Philadelphia,Kansas City,Cool roofs + shade in high-UHI hospitality corridors,Event-week HVAC setpoint & pre-cooling protocols,Plant-forward concessions & catering defaults
8,New York/New Jersey,35.87,20.87,50.87,0.3753,0.5314,0.8063,0.7618,-1.2934,-0.353,San Francisco Bay Area,Miami,Houston,Plant-forward concessions & catering defaults,Commercial kitchen water-efficiency retrofit grants,Hotel linen / laundry water-reuse program
9,Houston,10.37,0.0,25.37,0.9747,1.1997,0.953,1.0759,0.757,0.256,Miami,San Francisco Bay Area,New York/New Jersey,Plant-forward concessions & catering defaults,Hotel linen / laundry water-reuse program,Cool roofs + shade in high-UHI hospitality corridors
10,San Francisco Bay Area,2.58,0.0,17.58,1.1577,1.4938,1.6647,1.4834,-1.016,0.2359,Miami,New York/New Jersey,Houston,Plant-forward concessions & catering defaults,Commercial kitchen water-efficiency retrofit grants,Hotel linen / laundry water-reuse program
11,Miami,0.0,0.0,15.0,1.2183,1.4609,1.4296,1.5797,-0.6059,0.9424,San Francisco Bay Area,Houston,New York/New Jersey,Plant-forward concessions & catering defaults,Hotel linen / laundry water-reuse program,Commercial kitchen water-efficiency retrofit grants
