date,stadium,market,in_usa,stage,stage_group,team1,team2,attendance,capacity_wc
2026-06-11,Estadio Akron,,0,Group A,Group,KOR,CZE,44985,
2026-06-11,Estadio Azteca,,0,Group A,Group,MEX,RSA,80824,
2026-06-12,BMO Field,,0,Group B,Group,CAN,BIH,43002,
2026-06-12,SoFi Stadium,Los Angeles,1,Group D,Group,USA,PAR,70492,70492
2026-06-13,BC Place,,0,Group D,Group,AUS,TUR,52497,
2026-06-13,Gillette Stadium,Boston,1,Group C,Group,HAI,SCO,64146,64146
2026-06-13,Levi's Stadium,San Francisco Bay Area,1,Group B,Group,QAT,SUI,67966,68827
2026-06-13,MetLife Stadium,New York/New Jersey,1,Group C,Group,BRA,MAR,80663,80663
2026-06-14,AT&T Stadium,Dallas,1,Group F,Group,NED,JPN,69285,70649
2026-06-14,Estadio BBVA,,0,Group F,Group,SWE,TUN,50987,
2026-06-14,Lincoln Financial Field,Philadelphia,1,Group E,Group,CIV,ECU,68274,68324
2026-06-14,NRG Stadium,Houston,1,Group E,Group,GER,CUW,68021,68777
2026-06-15,Hard Rock Stadium,Miami,1,Group H,Group,KSA,URU,62764,64478
2026-06-15,Lumen Field,Seattle,1,Group G,Group,BEL,EGY,66775,66925
2026-06-15,Mercedes-Benz Stadium,Atlanta,1,Group H,Group,ESP,CPV,67640,68239
2026-06-15,SoFi Stadium,Los Angeles,1,Group G,Group,IRN,NZL,70108,70492
2026-06-16,Arrowhead Stadium,Kansas City,1,Group J,Group,ARG,ALG,69045,69045
2026-06-16,Gillette Stadium,Boston,1,Group I,Group,IRQ,NOR,63106,64146
2026-06-16,Levi's Stadium,San Francisco Bay Area,1,Group J,Group,AUT,JOR,68527,68827
2026-06-16,MetLife Stadium,New York/New Jersey,1,Group I,Group,FRA,SEN,80545,80663
2026-06-17,AT&T Stadium,Dallas,1,Group L,Group,ENG,CRO,70389,70649
2026-06-17,BMO Field,,0,Group L,Group,GHA,PAN,42942,
2026-06-17,Estadio Azteca,,0,Group K,Group,UZB,COL,80824,
2026-06-17,NRG Stadium,Houston,1,Group K,Group,POR,COD,68777,68777
2026-06-18,BC Place,,0,Group B,Group,CAN,QAT,52497,
2026-06-18,Estadio Akron,,0,Group A,Group,MEX,KOR,45522,
2026-06-18,Mercedes-Benz Stadium,Atlanta,1,Group A,Group,CZE,RSA,67442,68239
2026-06-18,SoFi Stadium,Los Angeles,1,Group B,Group,SUI,BIH,70026,70492
2026-06-19,Gillette Stadium,Boston,1,Group C,Group,SCO,MAR,64146,64146
2026-06-19,Levi's Stadium,San Francisco Bay Area,1,Group D,Group,TUR,PAR,68827,68827
2026-06-19,Lincoln Financial Field,Philadelphia,1,Group C,Group,BRA,HAI,68324,68324
2026-06-19,Lumen Field,Seattle,1,Group D,Group,USA,AUS,66925,66925
2026-06-20,Arrowhead Stadium,Kansas City,1,Group E,Group,ECU,CUW,68598,69045
2026-06-20,BMO Field,,0,Group E,Group,GER,CIV,43036,
2026-06-20,Estadio BBVA,,0,Group F,Group,TUN,JPN,51243,
