stadium,market,lat,lon,capacity_wc
MetLife Stadium,New York/New Jersey,40.81353,-74.07436,80663
AT&T Stadium,Dallas,32.74778,-97.09278,70649
SoFi Stadium,Los Angeles,33.953,-118.339,70492
Arrowhead Stadium,Kansas City,39.04889,-94.48389,69045
Levi's Stadium,San Francisco Bay Area,37.403,-121.97,68827
NRG Stadium,Houston,29.68472,-95.41083,68777
Lincoln Financial Field,Philadelphia,39.90083,-75.1675,68324
Mercedes-Benz Stadium,Atlanta,33.75556,-84.4,68239
Lumen Field,Seattle,47.5952,-122.3316,66925
Hard Rock Stadium,Miami,25.95806,-80.23889,64478
Gillette Stadium,Boston,42.091,-71.264,64146
